"id","nombre","laboratorio_asignado_id","created_at","activa","accn"
1,"Puente Cristal",2,"2026-06-12 08:35:05.367925",True,"003"
2,"Cima",2,"2026-06-12 08:18:37.583491",True,"004"
5,"Sambil Maracaibo",2,"2026-06-12 07:55:23.443068",True,"007"
6,"Cabimas Borjas",2,"2026-06-12 08:35:05.366496",True,"175"
7,"Caribe Zulia",2,"2026-06-12 08:35:05.366153",True,"173"
8,"Chinita FDS",2,"2026-06-12 08:35:05.365851",True,"005"
9,"Chinita Plaza",2,"2026-06-12 08:35:05.365572",True,"024"
11,"Galerías Mall",2,"2026-06-12 07:58:46.824252",True,"009"
12,"Gran Bazar",2,"2026-06-12 08:35:05.364993",True,"155"
13,"Lago Mall",2,"2026-06-12 08:35:05.364709",True,"030"
14,"Mall Delicias Plaza",2,"2026-06-12 08:35:05.364421",True,"037"
15,"Mall Paseo San Francisco",2,"2026-06-12 07:55:22.576743",True,"150"
16,"Metrosol",2,"2026-06-12 07:55:18.199058",True,"006"
17,"San Francisco La Coromoto",2,"2026-06-12 08:35:05.363566",True,"129"
18,"Terraza 77",2,"2026-06-12 07:58:31.815454",True,"053"
19,"Traki Cabimas ",2,"2026-06-12 08:35:05.362996",True,"138"
20,"Ciudad Crepuscular",2,"2026-06-12 07:58:42.65951",True,"124"
21,"Las Virtudes",2,"2026-06-12 08:35:05.362377",True,"200"
22,"Metropolis Barquisimeto",2,"2026-06-12 08:35:05.362084",True,"208"
23,"Sambil Barquisimeto Plaza Central",2,"2026-06-12 08:35:05.361795",True,"194"
24,"Sambil Barquisimeto desarrollo",2,"2026-06-12 08:35:05.36145",True,"213"
25,"Sambil Paraguana Las Piedra",2,"2026-06-12 07:55:15.577987",True,"201"
26,"Sambil Paraguana Mar Caribe",2,"2026-06-12 08:35:05.36077",True,"202"
27,"Sambil San Cristobal ",2,"2026-06-12 08:35:05.360431",True,"199"
28,"Traki Cabudare",2,"2026-06-12 08:35:05.360086",True,"180"
29,"Trinitarias",2,"2026-06-12 07:58:39.138386",True,"195"
32,"Sambil Barquisimeto Plaza Norte Nueva",2,"2026-06-12 07:55:14.279053",True,"158"
33,"Sole Tolon",2,"2026-06-12 08:35:05.35906",True,"152"
34,"El Marques",2,"2026-06-12 08:35:05.358648",True,"162"
35,"El Viñedo",2,"2026-06-12 08:35:05.358184",True,"198"
36,"Estacion Central",2,"2026-06-12 08:35:05.357686",True,"116"
37,"Galeria Plaza 1",2,"2026-06-12 08:35:05.357255",True,"052"
38,"Galeria Plaza 2",2,"2026-06-12 08:35:05.356815",True,"156"
39,"Hyper Jumbo",2,"2026-06-12 07:58:40.049508",True,"046"
40,"La Granja",2,"2026-06-12 08:35:05.35593",True,"193"
41,"Las Americas",2,"2026-06-12 07:58:32.633706",True,"157"
42,"Los Aviadores Aeropuerto",2,"2026-06-12 08:35:05.354963",True,"197"
43,"Los Aviadores",2,"2026-06-12 08:35:05.354433",True,"034"
44,"Metropolis Valencia",2,"2026-06-12 08:35:05.353366",True,"015"
45,"Parque Aragua",2,"2026-06-12 08:30:16.179973",True,"002"
47,"Sambil Valencia",2,"2026-06-12 07:58:47.640627",True,"192"
48,"Traki Guacara",2,"2026-06-12 08:30:16.178295",True,"165"
50,"Unicentro",2,"2026-06-12 08:30:16.176571",True,"144"
52,"Alta Vista",2,"2026-06-12 08:30:16.174471",True,"183"
